code,LTP,high,low
AAMRANET,55.9,57.1,55.6
AAMRATECH,34.1,34.7,33.6
ABBANK,14.5,14.9,14.1
ACFL,40.2,40.9,39.9
ACI,318.6,326.8,318.4
ACIFORMULA,167,171.9,166.3
ACMELAB,107.5,112.6,106.9
ACTIVEFINE,32.1,34,32
ADNTEL,68.2,71.9,68
ADVENT,34.5,38.1,33.5
AFCAGRO,35,36.2,34.7
AFTABAUTO,37,37.3,36.7
AGNISYSL,23.8,24.3,23.5
AGRANINS,54.8,56.4,54
AIL,62.6,66.2,62.6
AL-HAJTEX,65,70,64.5
ALARABANK,26.1,26.2,25.9
ALIF,20.5,21.5,20.3
AMANFEED,56.6,57.5,55.6
AMBEEPHA,478.7,480,450.1
AMCL(PRAN),261,265,245.1
ANLIMAYARN,40.5,40.7,39
ANWARGALV,445.4,470,445.4
APEXFOODS,151.3,157.8,151.3
APEXFOOT,295,299.8,292.6
APEXSPINN,134.5,136.9,131
APEXTANRY,127.7,131.5,127.1
ARAMIT,411.9,414.6,405
ARGONDENIM,24.6,24.9,24.3
ASIAINS,81.5,83.1,79.7
ASIAPACINS,66.8,67.2,64
ATLASBANG,113.7,118,110
AZIZPIPES,125,129.8,122
BANGAS,131.4,133.9,128.4
BANKASIA,20.4,20.5,19
BARKAPOWER,32.5,32.8,31.4
BATASHOE,901,910,890
BATBC,683,685.9,676.5
BAYLEASING,32.2,32.7,31.6
BBS,21.1,21.6,20.7
BBSCABLES,80.7,83.7,80.3
BDAUTOCA,147.5,150,144
BDCOM,27.9,27.9,27.2
BDFINANCE,65,67,65
BDLAMPS,217,222.4,210.1
BDTHAI,30.4,31.5,30.1
BDWELDING,19.9,20.5,19.7
BEACHHATCH,21.7,22.1,21
BEACONPHAR,232.8,243,230.7
BENGALWTL,26.8,26.9,26.3
BERGERPBL,"1,820.2","1,829","1,813.2"
BEXIMCO,142,149.2,141.7
BGIC,59,60,57.4
BNICL,133,140.5,128
BPML,52.5,53.5,52.5
BRACBANK,47.2,47.5,46.6
BSC,55.6,59.8,55.6
BSCCL,227.1,236,223.9
BSRMLTD,119.5,124.4,118.2
BSRMSTEEL,78.9,81.7,78.2
BXPHARMA,249,253.8,249
CENTRALINS,55,56,53.7
CENTRALPHL,19.7,20.3,18.8
CITYBANK,28.6,29.3,27.4
CITYGENINS,44,44.5,41.8
CONFIDCEM,159,162.9,159
CONTININS,48,49,46.8
COPPERTECH,45,49,44.9
CVOPRL,203.4,212,199
DACCADYE,24.1,25.7,24
DAFODILCOM,73.7,78,71.1
DBH,83.5,84.5,82.9
DELTALIFE,174.8,181.7,172.4
DELTASPINN,10.9,11.1,10.7
DESCO,43.6,45.4,43.5
DESHBANDHU,23.1,23.9,21.9
DHAKABANK,14.5,14.5,14
DHAKAINS,76.9,78.1,75.8
DOREENPWR,87.7,93.8,87.3
DSHGARME,185.1,196.6,184
DSSL,22,22.5,21.7
DULAMIACOT,52,54,51
DUTCHBANGL,81.5,81.6,79.8
EASTERNINS,114.2,120.5,111
EASTLAND,41.2,41.8,39.5
EASTRNLUB,"2,119.9","2,198","2,080"
EBL,39,39.2,38
ECABLES,141.4,144,137.7
EHL,0,0,0
EIL,0,0,0
EMERALDOIL,34.3,36.2,34.3
ENVOYTEX,46.9,47.1,46
EPGL,55.6,57.8,55.1
ESQUIRENIT,41.8,43.2,41.7
ETL,13.1,13.3,12.9
EXIMBANK,13,13,12.6
FAMILYTEX,5.9,6.5,5.7
FARCHEM,15.4,16,14.9
FAREASTFIN,7.8,8,7.6
FAREASTLIF,61.2,63.8,60.6
FASFIN,8.8,9.1,8.6
FEDERALINS,36.4,37.4,35.9
FEKDIL,18,18.8,17.8
FINEFOODS,47.5,48.8,45.5
FIRSTSBANK,11.8,12.3,11.5
FORTUNE,87.2,90.1,87.1
FUWANGCER,22.1,22.8,22
FUWANGFOOD,19.1,19.4,19
GBBPOWER,42.7,43.6,42.4
GEMINISEA,195.3,204.3,192.8
GENEXIL,131.1,135.2,128.3
GENNEXT,6.9,7,6.7
GHAIL,19.2,19.4,18.8
GHCL,41.1,42.5,40.7
GLOBALINS,50.1,50.6,47
GOLDENSON,16.9,17.3,16.7
GP,373.5,376.8,369.1
GPHISPAT,71.9,73.9,68.8
GQBALLPEN,116.3,117.9,115.2
GREENDELT,110.3,113.3,108.1
GSPFINANCE,25,25.4,24.5
HAKKANIPUL,73.3,74.7,72.1
HEIDELBCEM,358.5,360,353
HFL,20.6,20.9,20.3
HRTEX,75.2,84.9,75.2
IBNSINA,277,277,274.8
IBP,26.5,26.5,24.6
ICB,157,161.7,156.1
ICBIBANK,5.2,5.5,5.2
IDLC,68.9,69.6,67.9
IFADAUTOS,64.5,68.1,64.3
IFIC,16.2,16.7,15.5
ILFSL,8.8,9.4,8.7
IMAMBUTTON,30.7,31.9,30.2
INTECH,37.3,38,36.4
INTRACO,24.8,25.2,24.3
IPDC,43.4,44.5,42.8
ISLAMIBANK,29.9,30.1,29.7
ISLAMICFIN,31.2,31.9,30.9
ISLAMIINS,65.5,66.6,63.5
ISNLTD,42.9,43.4,42
ITC,40,40.7,38.8
JAMUNABANK,24.3,24.4,23.6
JAMUNAOIL,185.5,188.2,185
JANATAINS,49.3,49.5,45.9
JMISMDL,375,379.9,374.4
KARNAPHULI,43.5,44,41.3
KAY&QUE,298,302.8,292
KBPPWBIL,14.6,15,14.1
KDSALTD,78,82.3,77.8
KEYACOSMET,8.2,8.4,8.2
KOHINOOR,460.5,472.4,455.1
KPCL,47.4,49.1,46.6
KPPL,14.6,15.4,14.2
KTL,27.7,28.7,27.5
LANKABAFIN,44.6,45.4,44.4
LEGACYFOOT,68,68.4,65.6
LHBL,97.4,104.5,95
LIBRAINFU,858.1,859.4,838.8
LINDEBD,"1,625","1,625","1,585"
LRBDL,53.2,54,52.1
MAKSONSPIN,32.9,34,31.9
MALEKSPIN,34,35,33.8
MARICO,"2,341.1","2,350","2,330"
MEGHNALIFE,94.9,98.9,92
MERCANBANK,16.2,16.3,15.4
MERCINS,50.9,51,48.9
METROSPIN,27.8,28.8,27.3
MHSML,22.2,22.5,21.8
MICEMENT,84,84.8,84
MIDASFIN,22.1,22.5,21.6
MIRACLEIND,35,36.2,34.5
MIRAKHTER,90.4,94,90.3
MJLBD,109.5,116,109
MLDYEING,28.7,29.3,28.4
MONNOAGML,675.1,698,646
MONNOCERA,136.4,139.3,126.8
MPETROLEUM,205.5,210,204
MTB,20.1,20.2,19.8
NAHEEACP,51,52.4,49
NATLIFEINS,229.5,229.5,226
NAVANACNG,38.8,39.7,38.1
NBL,8.4,8.4,8.1
NCCBANK,15.1,15.2,14.8
NEWLINE,34.7,36.6,33.1
NFML,28.6,29.5,28
NHFIL,63.4,68.5,62.4
NITOLINS,57.9,58.9,55.4
NORTHERN,314.3,317,304.1
NORTHRNINS,52.5,53.4,50.5
NPOLYMAR,64,65,63.7
NRBCBANK,24.3,24.9,23.4
NTC,561.3,570,560
NTLTUBES,107.6,109,103.9
NURANI,8.7,8.7,8.2
OAL,13.4,13.7,13.1
OIMEX,25.5,26,25.3
OLYMPIC,192,192.8,190.1
ONEBANKLTD,13.1,13.4,12.9
ORIONINFU,98.8,106.9,98.1
ORIONPHARM,104.7,108.9,103.5
PADMALIFE,47,50,43.8
PADMAOIL,239.5,248,237.1
PARAMOUNT,80.8,83,79.6
PDL,18.1,19.2,18
PENINSULA,32.3,33.3,31.4
PEOPLESINS,47.6,48.6,45.9
PHARMAID,570.3,589.9,557.3
PHENIXINS,58,58.8,56.1
PHOENIXFIN,32.2,32.8,32
PIONEERINS,118.6,122.8,117
POPULARLIF,89.9,90.7,88.1
POWERGRID,69.8,72.7,68.6
PRAGATIINS,86.7,87.3,84
PRAGATILIF,101.5,103,99.5
PREMIERBAN,14.8,15,14.2
PREMIERLEA,12.8,13.2,12.6
PRIMEBANK,22.1,22.4,21.7
PRIMEFIN,19.5,20,19.4
PRIMEINSUR,49.6,49.6,47.1
PRIMELIFE,62.2,64.5,62.2
PRIMETEX,22.7,23.2,22.4
PROGRESLIF,104.8,106,101.1
PROVATIINS,175,186.2,166
PTL,83.1,87.4,82.2
PUBALIBANK,25.6,25.6,25.2
PURABIGEN,42.5,43.1,39.5
QUASEMIND,60.3,62.3,60
QUEENSOUTH,29.9,30.5,29.6
RAHIMTEXT,288,290,276
RAKCERAMIC,51.9,53.9,51.5
RANFOUNDRY,152.5,163.5,151.2
RDFOOD,50,52.8,50
RECKITTBEN,"4,710.6","4,730","4,700"
REGENTTEX,12.8,13.2,12.7
RELIANCINS,86,92.5,85.6
RENATA,"1,435","1,437","1,432"
RENWICKJA,"1,045","1,060","1,035"
REPUBLIC,54,54.5,51.2
RINGSHINE,12.4,12.6,12.2
RNSPIN,7.2,7.3,7
ROBI,43.1,43.1,38.6
RSRMSTEEL,30.2,31.3,29.9
RUNNERAUTO,65.7,68.1,65.7
RUPALIBANK,36,36.9,34
RUPALIINS,45.2,46.6,44.2
RUPALILIFE,71.9,72.4,70
SAFKOSPINN,24.2,24.7,22.5
SAIFPOWER,46.4,48.6,45.8
SAIHAMCOT,19.4,19.8,19.3
SAIHAMTEX,24.1,24.6,24
SALAMCRST,38,39.9,37.7
SALVOCHEM,53.1,55.5,52.1
SAMATALETH,83.4,86,82.2
SAMORITA,88.6,92.7,87.2
SANDHANINS,38.5,39.4,37.5
SAPORTL,32.8,34.7,32.8
SAVAREFR,238.9,240,218.5
SEAPEARL,50.7,53,50.1
SHAHJABANK,21.7,21.9,21
SHASHADNIM,30.1,30.7,29.9
SHEPHERD,23.6,23.6,21.6
SHURWID,18.6,19.1,16.9
SHYAMPSUG,100.3,100.3,92.5
SIBL,14.7,14.7,14.3
SILCOPHL,33.6,35,32.6
SILVAPHL,27.4,28.6,26.4
SIMTEX,21,21.4,20.7
SINGERBD,194.3,194.9,192.2
SINOBANGLA,57.6,58.2,55.9
SKTRIMS,41.5,42.5,41.1
SONALIANSH,457,465,450.2
SONALIPAPR,0,0,0
SONARBAINS,80,80,74.2
SONARGAON,22,22.4,21.1
SOUTHEASTB,15.8,16,15.5
SPCERAMICS,40.3,43,40.1
SPCL,122,129.8,120.5
SQUARETEXT,52.6,53,52.6
SQURPHARMA,238.5,241.8,238.3
SSSTEEL,28.1,28.4,26.7
STANCERAM,203.1,206.9,196.1
STANDARINS,87.9,88.7,84
STANDBANKL,10.1,10.1,9.8
STYLECRAFT,159.3,161,156
SUMITPOWER,49.7,50.9,48.5
SUNLIFEINS,36.1,36.6,35.6
TAKAFULINS,54.5,55.6,54.3
TITASGAS,45.8,47.6,45.3
TOSRIFA,21.3,21.5,20.7
TRUSTBANK,34,34.4,34
TUNGHAI,6.8,7.1,6.8
UCB,16.6,16.8,16.1
UNILEVERCL,"2,900","2,915","2,880"
UNIONCAP,13.3,13.9,13
UNIQUEHRL,59.6,62.8,59.5
UNITEDFIN,24.4,24.7,24.3
UNITEDINS,65.9,67.5,63.1
UPGDCL,300.2,304.5,298.2
USMANIAGL,66,67,65.2
UTTARABANK,25.6,25.9,25.5
UTTARAFIN,48,49.3,46.5
VFSTDL,26.2,26.9,26.2
WALTONHIL,"1,228","1,245.5","1,220.5"
WATACHEM,306,313,303.6
WMSHIPYARD,14.6,14.8,14.4
YPL,13.8,14.1,13.5
ZAHEENSPIN,9.9,10.2,9.8
ZAHINTEX,9,9.1,8.8
