Name of the Company	Trading Code	Opening Price	Closing Price	Difference (Open-Closing)	Last Traded Price	Highest Price	Lowest Price	Difference (High-Low)	Days Volume (mn)	No. of shares traded	No. of  Trades	Market Capitalization (mn)	52 Weeks Moving Range High	52 Weeks Moving Range Low	Total No. of shares	10% of Total shares	Update Time
Eastern Bank Ltd.	EBL	31.8	31.8	-	31.80	31.8	31.8	-	0.14	4,389.00	6	34,124.501	39.8	31.3	1,073,097,525	107309752	Jan 09, 2023 3:10 PM
Export Import (Exim) Bank of Bangladesh Limited	EXIMBANK	10.4	10.4	-	10.40	10.4	10.4	-	0.04	3,521.00	7	15,054.596	13.2	10.2	1,447,557,344	144755734	Jan 09, 2023 3:10 PM
Bank Asia Ltd.	BANKASIA	20.2	20.2	-	-	-	-	-	-	-	-	23,551.319	21.5	17.8	1,165,906,860	116590686	Jan 09, 2023 3:10 PM
The City Bank Ltd.	CITYBANK	21.8	21.8	-	21.80	21.8	21.8	-	0.58	26,764.00	19	26,173.227	28.4	21.7	1,200,606,743	120060674	Jan 09, 2023 3:10 PM
Dutch-Bangla Bank Ltd.	DUTCHBANGL	62.6	62.6	-	62.60	62.6	62.6	-	0.34	5,430.00	5	43,553.950	81.6	60.7	695,750,000	69575000	Jan 09, 2023 3:10 PM
Al-Arafah Islami Bank Ltd	ALARABANK	23.6	23.6	-	23.60	23.6	23.6	-	-	1.00	1	25,131.692	27.8	23.2	1,064,902,185	106490218	Jan 09, 2023 3:10 PM
Dhaka Bank Ltd.	DHAKABANK	13.2	13.2	-	13.20	13.2	13.2	-	0.00	150.00	1	12,535.047	15.1	13.0	949,624,754	94962475	Jan 09, 2023 3:10 PM
Jamuna Bank Ltd.	JAMUNABANK	21.3	21.3	-	21.30	21.3	21.3	-	0.04	2,000.00	2	15,958.506	24.4	19.1	749,225,650	74922565	Jan 09, 2023 3:10 PM
ICB Islamic Bank Limited	ICBIBANK	5.4	5.4	-	5.40	5.4	5.4	-	0.05	10,000.00	1	3,589.392	6.6	3.8	664,702,300	66470230	Jan 09, 2023 3:10 PM
Global Islami Bank Limited	GIB	9.0	9.0	-	9.00	9.0	9.0	-	0.01	583.00	8	8,463.769	9.8	9.0	940,418,750	94041875	Jan 09, 2023 3:10 PM
BRAC Bank Ltd.	BRACBANK	38.5	38.5	-	38.50	38.5	38.5	-	0.04	1,066.00	5	57,618.535	59.3	37.3	1,496,585,328	149658533	Jan 09, 2023 3:10 PM
AB Bank Limited	ABBANK	9.9	9.9	-	9.90	9.9	9.9	-	0.01	490.00	3	8,523.047	14.1	9.8	860,913,831	86091383	Jan 09, 2023 3:10 PM
Islami Bank Bangladesh Limited	ISLAMIBANK	32.9	33.0	0.1	33.00	33.0	32.7	0.3	15.75	479,816.00	791	52,968.693	36.0	31.3	1,609,990,668	160999067	Jan 09, 2023 3:10 PM
Mercantile Bank Ltd.	MERCANBANK	13.6	13.6	-	13.60	13.6	13.6	-	0.25	18,615.00	27	14,754.339	18.4	13.3	1,084,877,878	108487788	Jan 09, 2023 3:10 PM
IFIC Bank Ltd.	IFIC	11.5	11.5	-	11.50	11.5	11.5	-	0.35	30,469.00	27	20,537.976	18.6	10.7	1,785,910,939	178591094	Jan 09, 2023 3:10 PM
First Security Islami Bank Limited	FIRSTSBANK	9.8	9.8	-	9.80	9.8	9.8	-	0.04	4,309.00	8	10,250.880	13.4	9.8	1,046,008,121	104600812	Jan 09, 2023 3:10 PM
NRB Commercial Bank Limited	NRBCBANK	17.6	17.6	-	17.60	17.6	17.6	-	-	1.00	1	13,956.203	30.5	17.2	792,966,060	79296606	Jan 09, 2023 3:10 PM
National Bank Ltd.	NBL	8.3	8.3	-	8.30	8.3	8.3	-	-	10.00	1	26,723.838	8.7	7.1	3,219,739,570	321973957	Jan 09, 2023 3:10 PM
Prime Bank Ltd.	PRIMEBANK	19.3	19.3	-	19.30	19.3	19.1	0.2	1.77	92,132.00	86	21,853.071	22.8	18.5	1,132,283,477	113228348	Jan 09, 2023 3:10 PM
Premier Bank Ltd.	PREMIERBAN	13.4	13.1	-0.3	13.10	13.4	13.0	0.4	52.59	3,982,786.00	2,344	15,374.863	18.0	12.3	1,147,377,800	114737780	Jan 09, 2023 3:10 PM
Pubali Bank Ltd.	PUBALIBANK	26.5	26.3	-0.2	26.30	26.4	26.2	0.2	6.06	230,559.00	201	27,249.797	31.0	23.1	1,028,294,218	102829422	Jan 09, 2023 3:10 PM
National Credit and Commerce Bank Ltd.	NCCBANK	13.8	13.8	-	13.80	13.8	13.8	-	0.01	880.00	2	14,594.132	16.2	13.6	1,057,545,805	105754580	Jan 09, 2023 3:10 PM
Mutual Trust Bank Ltd.	MTB	16.8	16.9	0.1	16.90	17.0	16.6	0.4	0.94	55,612.00	34	15,014.920	20.2	16.3	893,745,224	89374522	Jan 09, 2023 3:10 PM
One Bank Limited	ONEBANKLTD	10.6	10.6	-	10.60	10.6	10.2	0.4	11.15	1,069,420.00	371	10,395.870	14.6	9.8	980,742,479	98074248	Jan 09, 2023 3:10 PM
Rupali Bank Ltd.	RUPALIBANK	25.2	25.2	-	25.20	25.2	25.2	-	-	18.00	1	11,710.370	36.2	24.3	464,697,205	46469720	Jan 09, 2023 3:10 PM
South Bangla Agriculture & Commerce Bank Limited	SBACBANK	10.6	10.6	-	10.60	10.6	10.6	-	0.00	115.00	5	8,649.932	17.4	10.4	816,031,338	81603134	Jan 09, 2023 3:10 PM
Shahjalal Islami Bank Ltd.	SHAHJABANK	18.9	18.8	-0.1	18.80	18.9	18.8	0.1	1.97	104,902.00	165	20,422.429	23.4	18.4	1,080,551,799	108055180	Jan 09, 2023 3:10 PM
Social Islami Bank Limited	SIBL	12.3	12.3	-	12.30	12.3	12.3	-	0.01	379.00	3	12,720.098	19.4	12.1	1,034,154,286	103415429	Jan 09, 2023 3:10 PM
Southeast Bank Ltd.	SOUTHEASTB	13.8	13.8	-	13.80	13.8	13.8	-	0.09	6,170.00	4	17,063.674	16.3	13.3	1,236,498,141	123649814	Jan 09, 2023 3:10 PM
Standard Bank Limited	STANDBANKL	8.8	8.8	-	8.80	8.8	8.8	-	0.02	1,700.00	1	9,346.258	10.9	8.7	1,062,074,773	106207477	Jan 09, 2023 3:10 PM
Trust Bank Limited	TRUSTBANK	34.9	34.9	-	34.90	34.9	34.9	-	0.01	165.00	3	27,165.746	40.0	30.4	778,388,132	77838813	Jan 09, 2023 3:10 PM
United Commercial Bank Ltd.	UCB	13.0	13.0	-	13.00	13.0	13.0	-	0.01	374.00	2	18,281.076	17.0	12.8	1,406,236,643	140623664	Jan 09, 2023 3:10 PM
Union Bank Limited	UNIONBANK	9.3	9.3	-	9.30	9.3	9.3	-	0.02	2,134.00	5	9,178.484	14.6	9.2	986,933,760	98693376	Jan 09, 2023 3:10 PM
Uttara Bank Limited	UTTARABANK	23.3	23.3	-	23.30	23.3	23.3	-	1.99	85,454.00	84	14,999.120	29.5	22.5	643,739,063	64373906	Jan 09, 2023 3:10 PM
