Name of the Company	Trading Code	Opening Price	Closing Price	Difference (Open-Closing)	Last Traded Price	Highest Price	Lowest Price	Difference (High-Low)	Days Volume (mn)	No. of shares traded	No. of  Trades	Market Capitalization (mn)	52 Weeks Moving Range High	52 Weeks Moving Range Low	Total No. of shares	10% of Total shares	Update Time
The City Bank Ltd.	CITYBANK	21.4	21.4	-	21.40	21.4	21.4	-	0.03	1,161.00	6	26,206.844	23.5	21.4	1,224,618,878	122461888	Jul 23, 2023 3:10 PM
Export Import (Exim) Bank of Bangladesh Limited	EXIMBANK	10.4	10.4	-	10.40	10.4	10.4	-	0.28	26,710.00	19	15,054.596	11.1	10.2	1,447,557,344	144755734	Jul 23, 2023 3:10 PM
BRAC Bank Ltd.	BRACBANK	35.8	35.8	-	35.80	35.8	35.8	-	0.60	16,791.00	21	57,596.086	40.8	35.8	1,608,829,227	160882923	Jul 23, 2023 3:10 PM
Eastern Bank Ltd.	EBL	29.4	29.4	-	29.40	29.4	29.4	-	0.28	9,502.00	6	35,492.701	33.7	29.4	1,207,234,715	120723472	Jul 23, 2023 3:10 PM
Bank Asia Ltd.	BANKASIA	20.2	20.2	-	20.20	20.2	20.2	-	-	12.00	2	23,551.319	21.0	19.8	1,165,906,860	116590686	Jul 23, 2023 3:10 PM
Dhaka Bank Ltd.	DHAKABANK	12.6	12.5	-0.1	12.50	12.5	12.5	-	0.65	51,606.00	33	12,683.188	14.4	12.5	1,006,602,238	100660224	Jul 23, 2023 3:10 PM
Global Islami Bank PLC	GIB	8.6	8.6	-	8.60	8.6	8.6	-	0.41	47,477.00	32	8,087.601	9.8	8.6	940,418,750	94041875	Jul 23, 2023 3:10 PM
Islami Bank Bangladesh Limited	ISLAMIBANK	32.6	32.6	-	32.60	32.6	32.6	-	0.15	4,619.00	9	52,485.696	36.0	32.0	1,609,990,668	160999067	Jul 23, 2023 3:10 PM
Dutch-Bangla Bank Ltd.	DUTCHBANGL	59.1	59.1	-	59.10	59.1	59.1	-	0.04	659.00	8	44,202.737	67.0	59.1	747,931,250	74793125	Jul 23, 2023 3:10 PM
Al-Arafah Islami Bank Ltd	ALARABANK	24.1	23.9	-0.2	24.00	24.2	23.9	0.3	0.14	5,952.00	26	25,664.143	26.7	23.2	1,064,902,185	106490218	Jul 23, 2023 3:10 PM
First Security Islami Bank Limited	FIRSTSBANK	8.9	8.9	-	8.90	8.9	8.9	-	0.11	12,212.00	6	10,240.420	11.2	8.9	1,150,608,934	115060893	Jul 23, 2023 3:10 PM
ICB Islamic Bank Limited	ICBIBANK	5.4	5.4	-	-	-	-	-	-	-	-	3,589.392	5.9	5.3	664,702,300	66470230	Jul 23, 2023 3:10 PM
IFIC Bank PLC	IFIC	11.2	11.2	-	11.20	11.2	11.2	-	0.55	48,876.00	23	20,502.258	14.2	11.2	1,830,558,713	183055871	Jul 23, 2023 3:10 PM
Mercantile Bank Ltd.	MERCANBANK	13.3	13.3	-	13.30	13.3	13.3	-	0.03	2,574.00	9	14,717.453	14.8	13.3	1,106,575,436	110657544	Jul 23, 2023 3:10 PM
National Bank Ltd.	NBL	8.3	8.3	-	8.30	8.3	8.3	-	0.02	2,000.00	1	26,723.838	8.7	8.2	3,219,739,570	321973957	Jul 23, 2023 3:10 PM
Jamuna Bank Ltd.	JAMUNABANK	20.9	20.9	-	20.90	20.9	20.9	-	0.29	13,660.00	10	16,989.815	23.0	20.9	812,909,830	81290983	Jul 23, 2023 3:10 PM
Mutual Trust Bank Ltd.	MTB	15.5	15.5	-	-	-	-	-	-	-	-	15,238.356	17.9	15.5	983,119,746	98311975	Jul 23, 2023 3:10 PM
NRB Commercial Bank Limited	NRBCBANK	16.8	16.8	-	16.80	16.8	16.8	-	0.00	71.00	5	13,921.312	19.7	16.8	828,649,534	82864953	Jul 23, 2023 3:10 PM
One Bank Limited	ONEBANKLTD	9.5	9.5	-	9.50	9.5	9.5	-	0.33	34,776.00	11	9,317.054	12.1	9.5	980,742,479	98074248	Jul 23, 2023 3:10 PM
Premier Bank Ltd.	PREMIERBAN	12.8	12.8	-	12.80	12.9	12.8	0.1	7.40	578,053.00	150	15,787.919	14.3	12.7	1,233,431,133	123343113	Jul 23, 2023 3:10 PM
Prime Bank Ltd.	PRIMEBANK	20.0	19.8	-0.2	19.80	20.4	19.6	0.8	0.97	48,723.00	44	22,645.670	21.4	18.5	1,132,283,477	113228348	Jul 23, 2023 3:10 PM
National Credit and Commerce Bank Ltd.	NCCBANK	13.1	13.1	-	13.10	13.1	13.1	-	0.32	24,505.00	5	13,853.850	14.4	13.1	1,057,545,805	105754580	Jul 23, 2023 3:10 PM
South Bangla Agriculture & Commerce Bank Limited	SBACBANK	10.5	10.5	-	10.50	10.5	10.5	-	0.02	1,970.00	7	8,654.012	11.7	10.4	824,191,650	82419165	Jul 23, 2023 3:10 PM
Shahjalal Islami Bank Ltd.	SHAHJABANK	18.3	18.3	-	18.30	18.6	18.3	0.3	0.28	15,482.00	36	20,367.321	20.5	18.3	1,112,968,352	111296835	Jul 23, 2023 3:10 PM
Social Islami Bank Limited	SIBL	11.7	11.7	-	-	-	-	-	-	-	-	12,704.585	13.1	11.7	1,085,862,000	108586200	Jul 23, 2023 3:10 PM
Pubali Bank Ltd.	PUBALIBANK	27.0	26.9	-0.1	27.00	27.0	26.6	0.4	1.40	52,025.00	93	27,763.944	28.9	24.8	1,028,294,218	102829422	Jul 23, 2023 3:10 PM
Rupali Bank Ltd.	RUPALIBANK	33.2	31.5	-1.7	31.50	34.2	31.3	2.9	25.03	775,358.00	965	15,427.947	38.4	25.2	464,697,205	46469720	Jul 23, 2023 3:10 PM
AB Bank Limited	ABBANK	9.7	9.7	-	9.70	9.7	9.7	-	0.08	8,630.00	13	8,517.881	11.0	9.7	878,132,108	87813211	Jul 23, 2023 3:10 PM
Southeast Bank Ltd.	SOUTHEASTB	13.3	13.3	-	13.30	13.3	13.3	-	0.00	68.00	4	17,103.242	14.2	13.3	1,285,958,067	128595807	Jul 23, 2023 3:10 PM
Standard Bank Limited	STANDBANKL	8.6	8.6	-	8.60	8.6	8.6	-	0.07	8,258.00	17	9,133.843	9.2	8.6	1,062,074,773	106207477	Jul 23, 2023 3:10 PM
United Commercial Bank PLC	UCB	12.4	12.4	-	12.40	12.4	12.4	-	0.13	10,348.00	18	18,309.201	13.8	12.4	1,476,548,476	147654848	Jul 23, 2023 3:10 PM
Trust Bank Limited	TRUSTBANK	31.7	31.7	-	-	-	-	-	-	-	-	24,674.904	38.3	31.7	778,388,132	77838813	Jul 23, 2023 3:10 PM
Union Bank Limited	UNIONBANK	8.9	8.9	-	8.90	8.9	8.9	-	0.05	5,856.00	20	9,222.896	10.2	8.9	1,036,280,448	103628045	Jul 23, 2023 3:10 PM
Uttara Bank Limited	UTTARABANK	22.0	22.0	-	22.00	22.0	22.0	-	2.40	109,262.00	25	16,144.976	25.9	22.0	733,862,532	73386253	Jul 23, 2023 3:10 PM
